time,lcj,hxj,fyj,hgj,
2018-5-20 11:6:30.51,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.557,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.62,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.666,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.713,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.776,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.822,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.869,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.916,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.978,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.025,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.072,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.134,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.181,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.228,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.275,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.337,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.384,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.431,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.478,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.54,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.587,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.634,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.696,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.743,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.79,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.836,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.899,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.946,0,121.15,-0.108,-1.008,
2018-5-20 11:6:31.992,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.039,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.102,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.148,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.195,0,121.15,-0.108,-1.008,
2018-5-20 11:6:32.258,0,121.15,-0.108,-1.008,
