time,lcj,hxj,fyj,hgj,
2018-5-20 13:9:43.69500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.75800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.80500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.86700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.91400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.96100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.00700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.05400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.11700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.16300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.21000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.25700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.31900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.36600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.41300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.46000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.52200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.56900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.61600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.67800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.72500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.77200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.81900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:44.89700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:44.92800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:44.97500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.03700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.08400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.13100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.17700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.24000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.28700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.33300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.38000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.44300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:45.48900,0.00000,121.09400,-0.10800,-1.00800,
