Sec,+-,+-,
2018-5-20 12:53:14.00000,4084085.06051,521328.78605,50.56112,
2018-5-20 12:53:15.00000,4084085.05597,521328.78683,50.56435,
2018-5-20 12:53:16.00000,4084085.05734,521328.78419,50.57568,
2018-5-20 12:53:17.00000,4084085.06041,521328.78295,50.56691,
2018-5-20 12:53:18.00000,4084085.05550,521328.78332,50.57712,
2018-5-20 12:53:19.00000,4084085.05821,521328.78511,50.57368,
2018-5-20 12:53:20.00000,4084085.05375,521328.78493,50.58129,
2018-5-20 12:53:21.00000,4084085.05786,521328.78813,50.57432,
2018-5-20 12:53:22.00000,4084085.05829,521328.78228,50.56373,
2018-5-20 12:53:23.00000,4084085.05831,521328.78491,50.56922,
2018-5-20 12:53:24.00000,4084085.05473,521328.78590,50.57899,
2018-5-20 12:53:25.00000,4084085.05910,521328.78578,50.56884,
2018-5-20 12:53:26.00000,4084085.05742,521328.78600,50.57524,
2018-5-20 12:53:27.00000,4084085.05927,521328.78570,50.56678,
2018-5-20 12:53:28.00000,4084085.05773,521328.78523,50.57199,
2018-5-20 12:53:29.00000,4084085.05616,521328.78542,50.56908,
2018-5-20 12:53:30.00000,4084085.06168,521328.78593,50.56306,
2018-5-20 12:53:31.00000,4084085.06053,521328.78530,50.56760,
2018-5-20 12:53:32.00000,4084085.05818,521328.78706,50.57440,
2018-5-20 12:53:33.00000,4084085.05809,521328.78318,50.57201,
2018-5-20 12:53:34.00000,4084085.06001,521328.78516,50.56412,
2018-5-20 12:53:35.00000,4084085.05943,521328.78560,50.56740,
2018-5-20 12:53:36.00000,4084085.06134,521328.78590,50.56235,
2018-5-20 12:53:37.00000,4084085.06099,521328.78520,50.55949,
2018-5-20 12:53:38.00000,4084085.06149,521328.78569,50.56531,
2018-5-20 12:53:39.00000,4084085.06319,521328.78592,50.55922,
2018-5-20 12:53:40.00000,4084085.06080,521328.78384,50.57406,
2018-5-20 12:53:41.00000,4084085.06060,521328.78603,50.55151,
2018-5-20 12:53:42.00000,4084085.06069,521328.78534,50.55055,
2018-5-20 12:53:43.00000,4084085.06179,521328.78520,50.56009,
2018-5-20 12:53:44.00000,4084085.06051,521328.78570,50.56245,
2018-5-20 12:53:45.00000,4084085.06141,521328.78693,50.55344,
2018-5-20 12:53:46.00000,4084085.06162,521328.78791,50.56265,
2018-5-20 12:53:47.00000,4084085.06165,521328.78763,50.55594,
2018-5-20 12:53:48.00000,4084085.05912,521328.78754,50.54716,
2018-5-20 12:53:49.00000,4084085.06258,521328.78745,50.56021,
2018-5-20 12:53:50.00000,4084085.06085,521328.78786,50.55535,
2018-5-20 12:53:51.00000,4084085.05899,521328.78853,50.55583,
2018-5-20 12:53:52.00000,4084085.05984,521328.78560,50.55535,
2018-5-20 12:53:53.00000,4084085.06191,521328.78952,50.55044,
2018-5-20 12:53:54.00000,4084085.06309,521328.78918,50.55053,
2018-5-20 12:53:55.00000,4084085.05872,521328.79030,50.55653,
2018-5-20 12:53:56.00000,4084085.06243,521328.78976,50.54475,
2018-5-20 12:53:57.00000,4084085.06028,521328.78706,50.56177,
2018-5-20 12:53:58.00000,4084085.06068,521328.78896,50.55924,
2018-5-20 12:53:59.00000,4084085.06011,521328.78760,50.54567,
2018-5-20 12:54:0.00000,4084085.06519,521328.78594,50.53173,
2018-5-20 12:54:1.00000,4084085.06312,521328.78772,50.55498,
2018-5-20 12:54:2.00000,4084085.06263,521328.78841,50.54882,
2018-5-20 12:54:3.00000,4084085.06124,521328.78880,50.56083,
2018-5-20 12:54:4.00000,4084085.06241,521328.78764,50.54544,
2018-5-20 12:54:5.00000,4084085.06106,521328.78856,50.55257,
2018-5-20 12:54:6.00000,4084085.06284,521328.78938,50.55304,
2018-5-20 12:54:7.00000,4084085.06176,521328.78758,50.55613,
2018-5-20 12:54:8.00000,4084085.06873,521328.78613,50.54917,
2018-5-20 12:54:9.00000,4084085.06169,521328.78867,50.54673,
2018-5-20 12:54:10.00000,4084085.06259,521328.78759,50.54753,
2018-5-20 12:54:11.00000,4084085.06456,521328.78888,50.53708,
2018-5-20 12:54:12.00000,4084085.06662,521328.79118,50.53933,
2018-5-20 12:54:13.00000,4084085.06488,521328.78939,50.54165,
2018-5-20 12:54:14.00000,4084085.06409,521328.78814,50.52870,
2018-5-20 12:54:15.00000,4084085.06549,521328.78994,50.53452,
2018-5-20 12:54:16.00000,4084085.06661,521328.79078,50.53052,
2018-5-20 12:54:17.00000,4084085.06368,521328.78932,50.52776,
2018-5-20 12:54:18.00000,4084085.06631,521328.79189,50.52010,
2018-5-20 12:54:19.00000,4084085.06483,521328.79022,50.52156,
2018-5-20 12:54:20.00000,4084085.06587,521328.78939,50.51084,
2018-5-20 12:54:21.00000,4084085.06472,521328.79012,50.52354,
2018-5-20 12:54:22.00000,4084085.06540,521328.78853,50.51247,
2018-5-20 12:54:23.00000,4084085.06278,521328.79161,50.51996,
2018-5-20 12:54:24.00000,4084085.06530,521328.78875,50.51794,
2018-5-20 12:54:25.00000,4084085.06436,521328.78975,50.52018,
2018-5-20 12:54:26.00000,4084085.06220,521328.79085,50.52840,
2018-5-20 12:54:27.00000,4084085.06336,521328.78950,50.51869,
2018-5-20 12:54:28.00000,4084085.06479,521328.78804,50.51395,
2018-5-20 12:54:29.00000,4084085.06217,521328.78927,50.52361,
2018-5-20 12:54:30.00000,4084085.06170,521328.78731,50.52123,
2018-5-20 12:54:31.00000,4084085.06572,521328.78692,50.51987,
2018-5-20 12:54:32.00000,4084085.06163,521328.78834,50.52116,
2018-5-20 12:54:33.00000,4084085.06224,521328.78981,50.50953,
2018-5-20 12:54:34.00000,4084085.06327,521328.78667,50.51231,
2018-5-20 12:54:35.00000,4084085.06241,521328.78645,50.51479,
2018-5-20 12:54:36.00000,4084085.06434,521328.78634,50.51887,
2018-5-20 12:54:37.00000,4084085.06738,521328.78737,50.50849,
2018-5-20 12:54:38.00000,4084085.06231,521328.78803,50.51975,
2018-5-20 12:54:39.00000,4084085.06508,521328.78886,50.51173,
2018-5-20 12:54:40.00000,4084085.06552,521328.78578,50.49763,
2018-5-20 12:54:41.00000,4084085.06146,521328.78811,50.51789,
2018-5-20 12:54:42.00000,4084085.06525,521328.78771,50.49717,
2018-5-20 12:54:43.00000,4084085.06341,521328.78817,50.50945,
2018-5-20 12:54:44.00000,4084085.06219,521328.78663,50.50791,
2018-5-20 12:54:45.00000,4084085.06606,521328.78732,50.49709,
2018-5-20 12:54:46.00000,4084085.06624,521328.78634,50.49002,
2018-5-20 12:54:47.00000,4084085.06398,521328.78798,50.49454,
2018-5-20 12:54:48.00000,4084085.06432,521328.78855,50.50058,
